Record Number,Measurement Date Time,Sample Name,Depth (cm),Year,Year Increment,Laser Obscuration,Weighted Residual,Dx (10),Dx (25),Dx (50),std. dept.,Dx (75),Dx (90),Mode Count,"Result In Range  (.01,2) ?m","Result In Range  (2,63) ?m","Result In Range  (63,2000) ?m","Result In Range  (2,4) ?m","Result In Range  (8,16) ?m","Result In Range  (16,31) ?m","Result In Range  (31,63) ?m","Result In Range  (63,125) ?m","Result In Range  (125,250) ?m","Result In Range  (250,500) ?m","Result In Range  (500,1000) ?m","Result In Range  (1000,2000) ?m",notes,,
164,1/4/2018,Average of 'CB17_V2B_100_189.5cm',189.5,732.8759114,27,11.01,0.63,0.735,2.4,5.6,-1.098194879,11.5,19.8,2,22.2,77.8,0.0002,16.12,21.96,12.59,2.61,0.0002,0,0,0,0,,,
180,1/4/2018,Average of 'CB17_V2C_0_195.5cm',195.5,728.8759114,4,13.59,0.6,0.796,2.89,6.42,0.033348326,12.9,22.2,2,18.91,80.43,0.66,14.75,23.65,13.74,3.8,0.66,0.003,0,0,0,,,
184,1/4/2018,Average of 'CB17_V2C_10_205.5cm',205.5,631.7726498,97.1032616,12.64,0.59,0.892,3.22,6.73,0.461126855,12.7,20.7,2,16.59,83.23,0.18,14.6,25.95,14.1,2.88,0.18,0,0,0,0,,,
188,1/4/2018 14:42,Average of 'CB17_V2_20_215.5',215.5,568.7099647,63.06268511,13.02,0.56,0.78,2.93,6.44,0.060946941,12.8,21.8,2,18.91,80.76,0.34,14.4,23.91,13.91,3.72,0.26,0.08,0,0,0,,,
192,1/4/2018 14:49,Average of 'CB17_V2_30_225.5',225.5,497.7099647,71,10.92,0.63,0.938,3.59,7.41,1.399479757,14.1,23.8,2,14.98,83.75,1.27,13.04,26.25,15.16,4.27,1.18,0.09,0,0,0,,,
196,1/4/2018 14:55,Average of 'CB17_V2_40_235.5',235.5,466.7099647,31,11.37,0.59,0.912,3.4,7.23,1.151092224,14.1,23.9,2,15.86,83.46,0.69,13.64,25.24,15.51,4.72,0.69,0.0001,0,0,0,,,
200,1/4/2018 15:01,Average of 'CB17_V2_50_245.5',245.5,411.7217834,54.98818124,12.58,0.6,0.807,2.95,6.43,0.047147634,13,23.3,2,18.5,80.44,1.06,14.87,23.01,13.38,4.47,1.02,0.03,0,0,0,,,
204,1/4/2018 15:09,Average of 'CB17_V2_60_255.5',255.5,341.2629136,70.45886986,11.41,0.62,0.759,2.83,6.22,-0.242637821,12.4,21.9,2,19.6,79.34,1.06,14.72,23.18,12.62,3.65,0.97,0.09,0,0,0,,,
208,1/4/2018 15:14,Average of 'CB17_V2_70_265.5',265.5,293.2629136,48,8.6,0.68,0.865,3.3,6.76,0.502524777,12.8,21.2,2,16.39,83.25,0.36,14.15,25.65,13.84,3.33,0.36,0.00004,0,0,0,,,
212,1/4/2018 15:20,Average of 'CB17_V2_80_275.5',275.5,235.5104277,57.75248591,10.25,0.92,0.908,3.52,7.03,0.875106076,13,21.1,2,15.12,84.66,0.23,13.7,26.85,14.42,3.15,0.23,0.00004,0,0,0,,,
216,1/4/2018 15:25,Average of 'CB17_V2_90_285.5',285.5,175.5104277,60,9.72,0.6,0.822,3.29,7.02,0.861306769,13.6,22.7,2,16.91,82.97,0.12,13.37,25.37,15.29,4.2,0.12,0,0,0,0,,,
220,1/4/2018 15:32,Average of 'CB17_V2_100_295.5',295.5,160,15.51042767,10.4,0.58,0.901,3.6,7.59,1.64786729,14.7,24.8,2,15.25,84.11,0.64,12.65,25.82,16.35,5.18,0.64,0.00009,0,0,0,,,
248,1/5/2018 14:42,Average of 'CB17_V2_105_300.5',300.5,146,14,11.33,0.7,0.805,3.14,6.81,0.571521314,13.2,22.3,2,17.81,81.69,0.5,13.65,25.04,14.43,3.82,0.5,0.00008,0,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
